,Name,Fantrax_Rank,Fantrax_ADP,Dollars,IP,ERA,WHIP,K/9,QS,SV,K-BB%,PL_Rank,Eno,Stuff+
134,Tyler Mahle,156,390.4,-2.2543759991495307,120.2,4.28331,1.23771,8.31198,7.37136,0.0,0.1444076895713806,,136.0,87.0
135,Blake Treinen,165,400.32,-2.328368339839508,54.1892,3.30583,1.16426,9.93893,0.0,5.77081,0.1957729160785675,,,
136,Jason Foley,136,361.92,-2.345223672247052,59.1923,3.58288,1.26919,7.27241,0.0,17.3552,0.1222810521721839,,,
137,DJ Herz,101,298.94,-2.372940070526493,126.109,4.09098,1.32983,10.1078,6.86321,0.0,0.1471099629998207,94.0,127.0,99.0
138,Bryan Hudson,363,880.96,-2.3867681917260684,60.4756,3.25851,1.16428,9.45518,0.0,1.94469,0.1680827736854553,,,
139,Spencer Arrighetti,61,199.05,-2.4711699572905657,144.65,4.41404,1.31441,9.6004,9.19279,0.0,0.1532231792807579,56.0,61.0,102.0
140,Miles Mikolas,175,420.33,-2.488582935707368,168.138,4.59033,1.24873,6.34765,11.7877,0.0,0.1241626925766468,,171.0,92.0
141,Charlie Morton,125,339.13,-2.7957117615182576,148.531,4.34104,1.33688,8.9823,10.1442,0.0,0.1373974382877349,,128.0,100.0
142,Porter Hodge,96,295.03,-2.925211148615732,62.3644,3.60568,1.28417,10.1016,0.0,10.4608,0.1527269855141639,,,
143,Camilo Doval,162,397.98,-2.9769394222874643,64.0519,3.55374,1.30033,10.737,0.0,8.83692,0.1668155118823051,,,
144,Yimi García,251,628.43,-2.978919894618846,55.8282,3.73488,1.14818,10.125,0.0,6.2671,0.2013933658599853,,,
145,Joel Payamps,236,569.33,-3.030650260880866,61.1914,3.61796,1.19814,8.88229,0.0,7.0851,0.1649341583251953,,,
146,Eury Pérez,166,401.37,-3.0561267104477645,72.641,3.85522,1.19205,10.1414,5.18995,0.0,0.1943975463509559,96.0,,
147,Reid Detmers,122,336.98,-3.172899178902706,112.989,4.31235,1.2762,10.0859,6.52266,0.0,0.1784234270453453,,101.0,102.0
148,Alexis Díaz,79,248.62,-3.2470565253505743,63.5252,4.25185,1.34548,9.55629,0.0,22.8472,0.1295444965362548,,,
149,Kyle Finnegan,114,327.15,-3.247648349515636,61.0053,4.02637,1.32347,8.5567,0.0,20.5946,0.1351992264389991,,,
150,Cole Sands,257,652.89,-3.248670844205213,62.8242,3.67467,1.18443,9.7973,0.0,3.7376,0.1911062747240066,,,
151,Mitchell Parker,151,384.86,-3.272532942243844,142.796,4.276,1.31798,8.00602,9.17901,0.0,0.1264240071177482,,,91.0
152,Luke Weaver,92,288.42,-3.300716527456398,68.7823,3.92071,1.18851,9.8181,0.00650743,4.48424,0.1887027472257614,,,
153,A.J. Minter,298,768.67,-3.4974456224473,52.7058,3.36425,1.16314,10.253,0.0,2.43077,0.1973368227481842,,,
154,Ryan Weathers,135,354.99,-3.5431713924758386,138.367,4.25879,1.31932,8.04861,8.81033,0.0,0.128264419734478,,111.0,101.0
155,Will Vest,325,829.42,-3.61365139701686,63.0632,3.4109,1.20823,8.80145,0.0,2.02298,0.1616793572902679,,,
156,Dustin May,148,382.73,-3.711386451329382,71.6683,3.62631,1.20149,8.78625,4.10304,0.0,0.1515556797385215,57.0,94.0,110.0
157,Evan Phillips,159,394.32,-3.754040309461449,49.1912,3.42434,1.15411,9.98502,0.0,4.11161,0.1952421516180038,,,
158,Grant Holmes,143,379.37,-3.82134251984292,109.165,4.01601,1.27974,8.6293,4.70069,0.0,0.1524436920881271,75.0,83.0,93.0
159,Jesus Tinoco,221,511.3,-3.878815055230055,64.8255,3.77673,1.26422,9.13755,0.0,8.60618,0.1552707254886627,,,
160,Andrew Heaney,152,386.77,-3.906641868767169,127.837,4.408,1.28093,8.58871,7.48191,0.0,0.1526077911257743,,161.0,95.0
161,Alex Vesia,215,499.49,-3.9107303263508273,57.1598,3.44872,1.22215,11.3606,0.0,1.13994,0.195230446755886,,,
162,David Robertson,237,571.32,-4.0294718865819785,47.0433,3.32667,1.20256,11.0124,0.0,4.48121,0.1987651139497757,,,
163,Garrett Whitlock,228,530.22,-4.129970626762844,58.6605,3.73091,1.17945,9.00422,0.188434,3.83905,0.1838757917284965,,,
164,Edward Cabrera,120,333.05,-4.266039390832685,123.701,4.20484,1.34638,9.63021,7.09196,0.0,0.1345139890909195,90.0,92.0,99.0
165,Fernando Cruz,258,653.98,-4.275138401905937,61.4055,3.72902,1.24611,12.5119,0.0,0.790566,0.2200002372264862,,,
166,José Alvarado,255,648.17,-4.437509989925164,57.0783,3.44478,1.28473,10.3055,0.0,4.70867,0.1614771336317062,,,
167,José Alvarado,1011,-,-4.437509989925164,57.0783,3.44478,1.28473,10.3055,0.0,4.70867,0.1614771336317062,,,
168,Hunter Gaddis,233,558.53,-4.496610129677218,62.2804,3.79037,1.15153,8.19593,0.177751,1.10138,0.1551663875579834,,,
169,Yennier Cano,242,591.72,-4.548735600439681,60.3646,3.39441,1.25639,8.94567,0.0,2.56981,0.1526964455842971,,,
170,Quinn Mathews,184,432.32,-4.590356048881314,90.4622,4.04472,1.30014,8.48358,7.49757,0.0,0.1309485509991645,,,
171,Tim Herrin,406,970.98,-4.622624153004475,57.7782,3.33085,1.2339,9.54525,0.0,0.310691,0.1570799052715301,,,
172,Dedniel Núñez,348,865.95,-4.651549344905397,48.2421,3.34362,1.176,10.5606,0.0,0.839563,0.2004261836409568,,,
173,Alex Cobb,181,429.29,-4.658760350142001,85.9685,3.84599,1.27856,7.41351,6.34498,0.0,0.1277303099632263,,,
174,Hunter Harvey,262,672.4,-4.673552109215957,59.5323,3.70697,1.20022,9.45942,0.0,2.03772,0.1812578961253166,,,
175,Andrew Kittredge,279,717.86,-4.760157270478346,61.4641,3.7125,1.21415,8.25887,0.0,3.86795,0.1560781970620155,,,
176,Justin Slaten,203,472.13,-4.783886607711327,64.6024,3.83753,1.26074,9.48717,0.0,5.27676,0.1684075221419334,,,
177,Gregory Santos,300,777.09,-4.90764976242588,52.5705,3.34784,1.22992,9.01598,0.0,2.6563,0.1599025055766105,,,
178,Trent Thornton,475,1693.38,-4.920035517973134,63.2321,3.76877,1.20852,8.88432,0.0,1.81803,0.1644837036728859,,,
