Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Josh Staumont","CIN",0.984696,0.91317,0,4.5363,20.5358,0,1.28981,2.09663,1.03795,21.408,94.4016,20.0113,11.7286,10.7903,2.69799,11.0198,0.233586,1.07326,21.3502,8.97569,4.63275,1.93744,1.13425,0.226163,0.116733,0.10943038761615753,0.243125,1.44951,0.297171,0.708246,,,4.50489,0.0591194,-0.0257745,999,1.1904,0.148887,1.04049,1.1904,-0.148887,3.61268,85.5,4.071428571428571,85,4.0476190476190474,,,,,,,,,,,,,,,,,,,"Josh Staumont","18335",622251
"Hunter Dobbins","BOS",0.721534,0.962386,0,4.03598,8.66806,0,0,0,0,9.80199,42.0153,9.54532,4.77785,4.39562,0.958742,3.43584,0.19915,0.510349,8.80132,8.08121,3.15472,2.56162,0.880298,0.209479,0.081776,0.1277030110359192,0.250737,1.32434,0.303316,0.704817,,,3.84997,0.0590922,0.0440917,999,1.13452,-0.0956764,1.30632,1.13452,0.0956764,3.25824,41.7,4.17,43,4.3,,,,,,,,,,,,,,,,,,,"Hunter Dobbins","sa3018275",690928
"Ryan Webb","CLE",0.870103,0.884593,0.094908,4.1215,19.1379,0.129789,0,1.06964,0,20.4881,88.5488,19.8826,10.1983,9.3824,2.20334,8.04973,0.428184,0.996151,19.0637,8.37429,3.53608,2.36824,0.967884,0.21529,0.0909073,0.12438277155160904,0.250086,1.36335,0.30358,0.713712,,,4.02814,0.0580813,0.0198062,999,1.40287,-0.821954,1.13441,1.40287,0.821954,3.48745,86.4,4.32,89,4.45,,,,,,,,,,,,,,,,,,,"Ryan Webb","sa3018280",669067
"Sem Robberse","STL",1.09115,1.10407,0.246137,4.18108,18.2245,0.437845,0,0.917613,0,22.3519,95.2042,22.0048,11.2868,10.3839,2.61749,7.21767,0.490077,0.93774,18.6795,7.52129,2.9062,2.58802,1.05393,0.196204,0.0758125,0.12039158493280411,0.252787,1.30738,0.294856,0.701762,,,4.11202,0.0566056,0.0470276,999,2.01005,-0.810866,1.13005,2.01005,0.810866,3.49326,86.7,3.940909090909091,89,4.045454545454546,,,,,,,,,,,,,,,,,,,"Sem Robberse","sa3011735",691828
"Tekoah Roby","STL",0.516824,0.548496,0.481221,4.95591,1.49879,1.49879,0,0,0,8.41066,35.7597,8.34668,5.03411,4.63138,1.30989,2.5668,0.0709124,0.371192,6.83936,7.3186,2.74666,2.66455,1.40168,0.191259,0.0717791,0.11947990208864212,0.254304,1.29758,0.285208,0.647534,,,4.61272,0.0565122,0.00182754,999,1.26048,-0.0297712,1.31006,1.26048,0.0297712,3.25326,31.100000000000005,3.8875000000000006,32,4,,,,,,,,,,,,,,,,,,,"Tekoah Roby","sa3014519",694358
"J.P. France","HOU",1.5386,1.63517,0.942622,4.4877,14.4047,2.58147,0,0.75589,0,26.2456,113.746,26.1178,14.2249,13.0869,3.87955,10.3085,0.373756,0.944835,22.6314,7.76065,3.53495,2.1954,1.33036,0.198965,0.0906279,0.10833689570426941,0.254826,1.3879,0.29268,0.716291,,,4.64983,0.0564477,0.0673482,999,2.23051,-1.12554,0.956103,2.23051,1.12554,3.7252,92.6,3.5615384615384613,95,3.6538461538461537,,,,,,,,,,,,,,,,,,,"J.P. France","21212",641585
"Josh Simpson","MIA",1.38729,1.67824,0,4.1035,26.5774,0,0,1.52471,0,28.2061,123.356,26.1824,13.9787,12.8604,3.16393,13.4564,0,1.63749,29.1776,9.30999,4.29366,2.16831,1.00955,0.236532,0.109086,0.12744619697332382,0.241843,1.40533,0.303191,0.728787,,,4.16121,0.0560581,0.10638,999,1.05398,-1.05591,0.9525,1.05398,1.05591,3.73,123.70000000000005,4.4178571428571445,122,4.357142857142857,,,,,,,,,,,,,,,,,,,"Josh Simpson","sa1053035",681006
"Hurston Waldrep","ATL",1.39569,1.81249,0.963251,4.69877,12.0259,2.76599,0,0.54499,0,24.092,106.656,24.0549,13.6718,12.5781,3.24739,11.188,0,1.30518,21.8247,8.15303,4.17947,1.95073,1.21312,0.204628,0.104898,0.09972973167896271,0.255461,1.46285,0.301163,0.702719,,,4.66266,0.0557086,0.0223803,688.0999755859375,1.89033,-1.80796,0.927144,1.89033,1.80796,3.76381,90.30000000000001,3.7625000000000006,93,3.875,,,,,,,,,,,,,,,,,,,"Hurston Waldrep","33527",694462
"Huascar Ynoa","MIN",1.13328,1.31048,0,4.22859,17.9107,0,0,0.891179,0,19.6141,84.4937,18.5719,10.0169,9.21553,2.33864,7.8949,0.362203,0.950031,19.4513,8.92532,3.62261,2.46378,1.07309,0.23021,0.0934377,0.1367725431919098,0.245501,1.34938,0.301403,0.709271,,,4.08595,0.0555655,0.0256552,999,2.27381,-1.46189,1.11242,2.27381,1.46189,3.51678,89,4.45,89,4.45,,,,,,,,,,,,,,,,,,,"Huascar Ynoa","20468",660623
"Jonathan Bowlan","KCR",1.57449,3.08701,0.261029,4.53106,22.1193,1.12305,0,0.700105,0,27.19,118.217,28.9979,14.8792,13.6888,4.00978,8.96465,0.12286,1.13116,22.7216,7.52093,2.96734,2.53457,1.32725,0.192203,0.0758324,0.11637047678232193,0.268199,1.3962,0.307019,0.713576,,,4.52622,0.0552574,-0.0443192,999,1.9573,-0.858093,0.933908,1.9573,0.858093,3.75479,95.20000000000002,3.5259259259259266,103,3.814814814814815,,,,,,,,,,,,,,,,,,,"Jonathan Bowlan","24607",680742
"Joely Rodríguez","BOS",1.03219,0.989291,0,4.16081,22.249,0,0,2.72408,0.584486,22.9936,99.9289,23.091,11.5546,10.6302,2.27838,9.00027,0.310294,0.926306,19.799,7.74957,3.52283,2.19982,0.891789,0.19813,0.0900667,0.10806360840797424,0.25656,1.39566,0.306406,0.710574,,,4.02762,0.0550644,-0.00234248,999,1.19398,-1.65608,1.07977,1.19398,1.65608,3.5603,107.80000000000003,4.686956521739131,111,4.826086956521739,,,,,,,,,,,,,,,,,,,"Joely Rodriguez","11487",570257
"Luis Guerrero","BOS",1.38602,1.37214,0,4.10761,24.2208,0,0.0225418,3.44423,1.09392,27.2063,118.036,24.6104,13.4967,12.417,3.15555,12.9541,0,1.30138,27.978,9.25529,4.28528,2.15979,1.04387,0.237029,0.109747,0.12728269398212433,0.237139,1.38073,0.29533,0.726098,,,4.18949,0.0549071,0.168443,747.7899780273438,2.47338,1.79895,0.980056,2.47338,-1.79895,3.69326,123.9,4.5888888888888895,122,4.518518518518518,,,,,,,,,,,,,,,,,,,"Luis Guerrero","31184",692285
"Matt Gage","DET",0.540533,0.468865,0,4.11867,12.2483,0,0,0,0.509582,15.691,66.9519,13.799,7.8051,7.18069,1.63111,6.81463,0.449653,0.677344,15.4069,8.83702,3.9087,2.26086,0.935564,0.230119,0.101784,0.12833499163389206,0.232072,1.31372,0.286829,0.69877,,,3.98647,0.0548284,0.0162894,999,0.993867,0.0535154,1.23656,0.993867,-0.0535154,3.35126,63.40000000000001,3.962500000000001,60,3.75,,,,,,,,,,,,,,,,,,,"Matt Gage","17381",657424
"Ryan Borucki","PIT",1.04337,0.55118,0.154196,4.21295,17.4129,0.210867,0,2.96857,0.641781,18.2626,77.8322,17.1137,9.29222,8.54884,2.08228,6.36895,0.217956,1.20537,17.4457,8.59742,3.13868,2.73918,1.02617,0.224145,0.0818293,0.1423160284757614,0.243583,1.28583,0.296302,0.689946,,,3.98242,0.0533378,0.0680682,999,1.60863,-0.518236,1.17301,1.60863,0.518236,3.43598,89.40000000000002,4.966666666666668,89,4.944444444444445,,,,,,,,,,,,,,,,,,,"Ryan Borucki","16350",621366
"Seth Martinez","SEA",1.76794,2.08629,0,4.09669,35.0625,0,0.387088,2.70202,0,43.9591,191.708,43.9093,21.7496,20.0096,5.27658,16.5574,1.10055,3.32058,36.6923,7.51222,3.38989,2.21607,1.08031,0.191397,0.0863677,0.10502878576517105,0.255539,1.37552,0.297492,0.729418,,,4.41412,0.0529854,0.167179,999,1.34076,1.6339,0.801729,1.34076,-1.6339,3.93103,175.70000000000002,3.9931818181818186,181,4.113636363636363,,,,,,,,,,,,,,,,,,,"Seth Martinez","21045",661527
