ID,Player,Team,Position,RkOv,Status,Age,Opponent,Score,%D,ADP,Ros,IP,QS,SV,HLD,K,ERA,WHIP,GP
*03qqf*,Alexis Diaz,CIN,RP,330,FA,28,SF Thu 1:10PM,62.56,98%,248.62,96%,62,0,32,0,70,3.77,1.29,65
*03ab0*,Luis Severino,ATH,SP,70,FA,31,@SEA Thu 7:10PM,84.71,97%,249.41,93%,177,16,0,0,164,4.07,1.26,30
*02c2h*,Chris Bassitt,TOR,SP,55,FA,36,BAL Thu 12:07PM,87.04,96%,250.82,89%,182,17,0,0,174,4.15,1.286,32
*02hj7*,Merrill Kelly,ARI,SP,110,FA,36,CHC Thu 7:10PM,80.02,96%,251.87,91%,152,15,0,0,145,3.85,1.204,27
*05rb0*,Jackson Jobe,DET,"SP,RP",251,FA,22,@LAD Thu 4:10PM,67.37,99%,252,99%,108,13,0,0,102,3.83,1.259,22
*04px8*,Reese Olson,DET,SP,112,FA,25,@LAD Thu 4:10PM,79.85,96%,258.16,93%,149,16,0,0,136,3.81,1.228,28
*03dfa*,Tanner Scott,LAD,RP,238,FA,30,DET Thu 4:10PM,67.88,99%,260.29,97%,67,0,26,0,80,2.96,1.104,68
*041r1*,Jesus Luzardo,PHI,SP,211,FA,27,@WSH Thu 1:05PM,70.64,97%,262.94,96%,115,12,0,0,126,3.91,1.183,21
*01srb*,Jameson Taillon,CHC,SP,152,FA,33,@ARI Thu 7:10PM,75.97,92%,265.69,83%,155,14,0,0,122,4.24,1.252,28
*041sz*,Tobias Myers,MIL,SP,79,FA,26,@NYY Thu 12:05PM,83,94%,270.54,93%,151,17,0,0,148,3.7,1.179,28
*04azu*,Kumar Rocker,TEX,SP,128,FA,25,BOS Thu 1:05PM,77.93,95%,279.69,96%,128,14,0,0,152,3.66,1.133,24
*02c4q*,Nick Martinez,CIN,"SP,RP",149,FA,34,SF Thu 1:10PM,76.37,97%,281.64,84%,154,9,0,0,124,3.74,1.221,39
*03dau*,Trevor Megill,MIL,RP,501,FA,31,@NYY Thu 12:05PM,50.19,77%,284.13,86%,47,0,22,0,58,3.83,1.213,46
*02c5l*,Luke Weaver,NYY,RP,142,FA,31,MIL Thu 12:05PM,77.07,94%,288.42,86%,75,0,6,26,87,3.6,1.147,54
*05rik*,Bubba Chandler,PIT,SP,431,FA,22,@MIA Thu 1:10PM,54,94%,290.43,95%,84,8,0,0,91,4.18,1.298,16
*04aqc*,David Bednar,PIT,RP,276,FA,30,@MIA Thu 1:10PM,65.81,96%,291.44,92%,64,0,30,2,69,3.38,1.172,64
*041qr*,Aaron Civale,MIL,SP,86,FA,29,@NYY Thu 12:05PM,82.37,93%,293.61,83%,164,16,0,0,154,4.17,1.238,30
