"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","Ros","AB","H","R","HR","RBI","SB","OBP","SLG","GP"
"*05gsi*","Ceddanne Rafaela","BOS","2B,SS,OF","300","FA","24","@TEX Thu 1:05PM","64.36","100%","202.42","97%","506","127","65","14","66","20",".290",".403","130"
"*03qr0*","Cedric Mullins","BAL","OF","346","FA","30","@TOR Thu 12:07PM","60.41","98%","203.07","91%","409","96","60","15","50","27",".306",".406","113"
"*041sq*","Tommy Edman","LAD","SS,OF","301","FA","29","DET Thu 4:10PM","64.3","99%","203.52","95%","490","118","70","14","51","25",".305",".386","130"
"*05jr0*","Alec Burleson","STL","1B,OF","293","FA","26","MIN Thu 1:15PM","64.89","99%","208.07","96%","531","145","68","20","72","8",".325",".429","130"
"*04071*","Isaac Paredes","HOU","1B,3B","230","FA","26","NYM Thu 1:10PM","68.9","99%","208.91","99%","529","128","72","25","89","1",".349",".439","146"
"*04qnc*","Francisco Alvarez","NYM","C","364","FA","23","@HOU Thu 1:10PM","59.48","99%","215.36","97%","405","93","56","21","66","1",".314",".430","113"
"*02i11*","Jorge Soler","LAA","OF,UT","326","FA","33","@CHW Thu 1:10PM","62.65","97%","216.98","91%","475","112","73","28","63","1",".331",".467","130"
"*04y44*","Josh Jung","TEX","3B","437","FA","27","BOS Thu 1:05PM","53.76","98%","218.25","97%","412","106","56","19","55","4",".301",".444","113"
"*05jrh*","Colt Keith","DET","2B","391","FA","23","@LAD Thu 4:10PM","56.45","98%","218.72","96%","480","127","57","15","62","5",".331",".417","130"
"*041xv*","Nathaniel Lowe","WSH","1B","255","FA","29","PHI Thu 1:05PM","67.14","99%","219.37","94%","568","152","78","17","80","2",".359",".410","154"
"*03avk*","Luis Rengifo","LAA","2B,3B","378","FA","28","@CHW Thu 1:10PM","57.69","98%","220.23","92%","461","124","59","14","53","14",".325",".416","113"
"*03nri*","Lourdes Gurriel Jr.","ARI","OF","315","FA","31","CHC Thu 7:10PM","63.18","98%","221.6","94%","531","145","68","18","75","5",".320",".437","130"
"*02i2q*","Carlos Correa","MIN","SS","340","FA","30","@STL Thu 1:15PM","61.59","99%","221.92","98%","487","132","69","20","68","0",".352",".460","122"
"*03de9*","Rhys Hoskins","MIL","1B","303","FA","31","@NYY Thu 12:05PM","64.21","98%","222.69","91%","473","105","64","26","81","2",".313",".429","130"
"*03m6o*","Yandy Diaz","TB","1B","312","FA","33","","63.59","99%","222.95","95%","536","156","71","16","69","1",".368",".442","138"
"*04t9b*","Michael Busch","CHC","1B","283","FA","27","@ARI Thu 7:10PM","65.43","99%","224.25","96%","500","127","74","22","70","3",".350",".450","134"
"*03c65*","Victor Robles","SEA","OF","402","FA","27","ATH Thu 7:10PM","55.98","97%","226.2","86%","387","105","58","6","40","31",".347",".388","97"
